old_path,new_path,date,company,format,status
"to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108_1.xml","to_check/archive/original_snapshot/20250123_MARGIT_ARMLEDER_SPRETER_THOMAS_ARMLEDER_PAIN00800108_1.xml","20250123","MARGIT_ARMLEDER_SPRETER_THOMAS_ARMLEDER","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108_2.xml","to_check/archive/original_snapshot/20250123_MARGIT_ARMLEDER_SPRETER_THOMAS_ARMLEDER_PAIN00800108_2.xml","20250123","MARGIT_ARMLEDER_SPRETER_THOMAS_ARMLEDER","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108_3.xml","to_check/archive/original_snapshot/20250123_MARGIT_ARMLEDER_SPRETER_THOMAS_ARMLEDER_PAIN00800108_3.xml","20250123","MARGIT_ARMLEDER_SPRETER_THOMAS_ARMLEDER","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108_4.xml","to_check/archive/original_snapshot/20250123_BRS_BIOENERGIE_GMBH_PAIN00800108.xml","20250123","BRS_BIOENERGIE_GMBH","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250124_SOLADES1RWL_PAIN00800102.xml","to_check/archive/original_snapshot/20250124_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102.xml","20250124","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250124_SOLADES1RWL_PAIN00800102_1.xml","to_check/archive/original_snapshot/20250124_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_1.xml","20250124","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250125_SOLADES1RWL_PAIN00800102.xml","to_check/archive/original_snapshot/20250125_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102.xml","20250125","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102.xml","to_check/archive/original_snapshot/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_1.xml","to_check/archive/original_snapshot/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_1.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_10.xml","to_check/archive/original_snapshot/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_2.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_11.xml","to_check/archive/original_snapshot/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_3.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_12.xml","to_check/archive/original_snapshot/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_4.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_2.xml","to_check/archive/original_snapshot/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_5.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_3.xml","to_check/archive/original_snapshot/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_6.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_4.xml","to_check/archive/original_snapshot/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_7.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_5.xml","to_check/archive/original_snapshot/20250218_ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ_PAIN00800102_8.xml","20250218","ENRW_ENERGIEVERSORGUNG_ROTTWEIL_GMBH_CO_KG_NETZ","PAIN00800102","RENAMED"
